facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
TEMPLE AM ECHAD-S SHORE CONGR (MHK),"1 SAPERSTEIN PLAZA,  LYNBROOK",2025-01-31,"Item 14A-   Insects, rodents present;",0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,1 SAPERSTEIN PLAZA,LYNBROOK,11563,290700,HEMPSTEAD,TEMPLE AM ECHAD - SOUTH SHORE REFORM CONG (MHK),2026-05-31T00:00:00.000,,TEMPLE AM ECHAD - SOUTH SHORE CONGREGATION,,,802790,Inspection,Grade: A|Seats: 0|Permit: F0116440 exp: 05/31/2025|FMTC: TM no. 43159 exp: 06/30/2027,NY,"(40.656191, -73.675231)"
HAMA SUSHI,"1115 OLD COUNTRY  ROAD,  PLAINVIEW",2025-10-24,"Item  3C-  Critical Violation [RED] Food workers do not use proper utensils to eliminate bare hand contact with cooked or prepared foods.; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;",1.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1115 OLD COUNTRY  ROAD,PLAINVIEW,11803,295214,OYSTER BAY,HAMA SUSHI,2026-07-31T00:00:00.000,,JASON JAPANESE FOOD INC,,,817565,Inspection,Food managers WW expires December 2027. Certificate# 45653,NY,"(40.776326, -73.466368)"
CREST HOLLOW COUNTRY CLUB SNACK,"8325 JERICHO  TURNPIKE,  WOODBURY",2025-05-29,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,8325 JERICHO  TURNPIKE,WOODBURY,11797,295217,OYSTER BAY,CREST HOLLOW COUNTRY CLUB SNACK BAR,2027-04-30T00:00:00.000,,CREST HOLLOW COUNTRY CLUB SNACK BAR,,,572626,Inspection,Score “A” |Permit exp 4/26|50-100 seats (Additional 110 dollars to be collected)|Permit was hand delivered,NY,"(40.816848, -73.46453)"
WEST END CAFE,"187 GLEN COVE ROAD,  CARLE PLACE",2025-02-27,"Item 15D-   Improper storage of cleaning equipment, linens, laundry unacceptable;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,187 GLEN COVE ROAD,CARLE PLACE,11514,295102,N. HEMPSTEAD,WEST END CAFE,2027-04-30T00:00:00.000,WEST END CAFE,R & G CARLE PLACE RESTAURANT INC,,,578434,Re-Inspection,,NY,"(40.746949, -73.617322)"
BRICK CAFE,"157 LAKEVIEW  AVENUE,  LYNBROOK",2026-03-25,"Item 14A-   Insects, rodents present; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,157 LAKEVIEW  AVENUE,LYNBROOK,115631755,290700,HEMPSTEAD,BRICK CAFE,2027-01-31T00:00:00.000,BRICK CAFE,157 LAKEVIEW AVE INC,,,569809,Re-Inspection,,NY,"(40.665743, -73.667102)"
SEAFORD SD-SEAFORD HS & NORDIC NOOK,"1575 SEAMANS NECK ROAD,  SEAFORD",2025-07-30,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,1575 SEAMANS NECK ROAD,SEAFORD,11783,299900,NASSAU SCHOOLS,SEAFORD SD - SEAFORD HIGH SCHOOL & THE NORDIC NOOK,2026-09-30T00:00:00.000,,ARAMARK EDUCATIONAL SERVICES LLC,,,671812,Re-Inspection,All violations corrected.|Nordic Nook Coffee Bar area updated. Plan Review items corrected.|Ok to open and operate.,NY,"(40.68594, -73.494763)"
SUSHI TOKYO,"337 CENTRAL AVENUE,  LAWRENCE",2025-02-24,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,337 CENTRAL AVENUE,LAWRENCE,11559,292400,HEMPSTEAD,SUSHI TOKYO,2027-03-31T00:00:00.000,,SUSHI TOKYO LAWRENCE LLC,,,799678,Re-Inspection,No violation was noted at the time of inspection.,NY,"(40.617745, -73.729412)"
"NAUTILUS HOTEL, THE","2001 OCEAN BOULEVARD,  ATLANTIC BEACH",2026-03-09,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,2001 OCEAN BOULEVARD,ATLANTIC BEACH,11509,292100,HEMPSTEAD,THE NAUTILUS HOTEL- DINING ROOM FOR GUESTS,2026-04-30T00:00:00.000,,,,,500935,Inspection,FMTC#: 23634433 - WA - Exp: 2/28/26,NY,"(40.587193, -73.735098)"
TACO BELL #3726,"3946 HEMPSTEAD TURNPIKE,  LEVITTOWN",2025-03-12,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,3946 HEMPSTEAD TURNPIKE,LEVITTOWN,11756,295024,HEMPSTEAD,TACO BELL #3726,2026-04-30T00:00:00.000,,TACO BELL OF AMERICA LLC,,,556592,Inspection,54 seats|Permit expires April 2025|Grade A,NY,"(40.725214, -73.489527)"
SUBWAY,"1685 GRAND AVENUE,  BALDWIN",2025-04-03,"Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1685 GRAND AVENUE,BALDWIN,115101893,295002,HEMPSTEAD,SUBWAY,2026-05-31T00:00:00.000,,BALDWIN SUBWAY INC,,,781920,Inspection,Score: A|Permit: F0231008 - Expiration date: May 31/2025|Seats: 14|FMTC: No posted,NY,"(40.670373, -73.610163)"
RVC SD - RIVERSIDE ELEMENTARY,"110  RIVERSIDE DRIVE,  ROCKVILLE CENTRE",2024-02-06,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,110  RIVERSIDE DRIVE,ROCKVILLE CENTRE,11570,299900,NASSAU SCHOOLS,RVC SD - RIVERSIDE ELEMENTARY SCHOOL,2026-08-31T00:00:00.000,,ROCKVILLE CENTRE UFSD,,,685858,Inspection,"Score: 0/0 “A”|Permit Expires: August 31, 2024|FMTC: Unavailable on site|Hot water temperature at the 3-compartment sink: 139.2ºF|Milk Expiration Date: February 18, 2024.",NY,"(40.65235, -73.653559)"
OUR REDEEMER LUTHERAN DAY CARE CTR,"2025 WASHINGTON  AVENUE,  SEAFORD",2025-10-02,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,2025 WASHINGTON  AVENUE,SEAFORD,11783,295045,HEMPSTEAD,OUR REDEEMER LUTHERAN DAY CARE CENTER,2040-12-31T00:00:00.000,OUR REDEEMER LUTHERAN DAY CARE CENTE,OUR REDEEMER LUTHERAN CHURCH,KLOSE GE,RONALD,576458,Inspection,"licensed for 8 infants, 12 toddlers, 112 preschoolers- 8 weeks to 4 years of age|Parents provide lunch for children,  2 snacks for full day students|Facility provides snacks|Monday is pizza day ( from a licensed food service establishment)|Soap and paper towels noted at hand wash sinks|Gloves noted|Thermometers in all refrigeration units|Grade A",NY,"(40.672895, -73.484728)"
BURGER KING,"52 JERICHO  TURNPIKE,  JERICHO",2024-05-23,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 14A-   Insects, rodents present; Item 14C-   Pesticide application not supervised by a certified applicator;",0.0,0.0,6.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,52 JERICHO  TURNPIKE,JERICHO,11753,295206,OYSTER BAY,BURGER KING,2026-08-31T00:00:00.000,BURGER KING,"JERICHO RESTAURANT ASSOCIATES, LP",,,568817,Inspection,0/6 “B”|Permit exp: 8/31/24,NY,"(40.77867, -73.563255)"
ALL NATIONALITIES DELI,"2540 NORTH JERUSALEM  ROAD,  NORTH BELLMORE",2026-03-24,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,5.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,2540 NORTH JERUSALEM  ROAD,NORTH BELLMORE,11710,295032,HEMPSTEAD,ALL NATIONALITIES  DELI,2026-12-31T00:00:00.000,,ALL NATIONALITIES DELI # II INC,,,670668,Re-Inspection,,NY,"(40.70595, -73.540904)"
FARMINGDALE SD - WOODWARD PKWY SCH,"95 WOODWARD PARKWAY,  SOUTH FARMINGDALE",2025-03-18,"Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,2.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,95 WOODWARD PARKWAY,SOUTH FARMINGDALE,11735,299900,NASSAU SCHOOLS,FARMINGDALE UFSD - WOODWARD PKWY SCHOOL,2026-09-30T00:00:00.000,WOODWARD PKWY SCH (FARMINGDALE UFSD),FARMINGDALE UFSD,,,573617,Inspection,"Score: 0/2 “A”|Permit Expires: September 30, 2025|FMTC: M.P.; Cert #: 28656127; Cert Exp: June 30, 2026.|Milk Expiration Date: March 26 2025|March 2025 Menu Attached.",NY,"(40.72061, -73.447746)"
ROSLYN SD - EAST HILLS ELEM,"315 LOCUST  LANE,  ROSLYN HEIGHTS",2025-05-08,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,315 LOCUST  LANE,ROSLYN HEIGHTS,11577,299900,NASSAU SCHOOLS,ROSLYN SD - EAST HILLS ELEMENTARY SCHOOL,2027-04-30T00:00:00.000,EAST HILLS ELEM (ROSLYN UFSD),ROSLYN UNION FREE SCHOOL DISTRICT,,,578370,Inspection,"Score: 0/0 “A”|Permit Expires: April 30, 2026|FMTC: Y.H.; Cert #: 47275; Cert Exp: December 30, 2025|Milk Expiration Date: May 22, 2025|Hot water temperature at the 3-compartment sink: 143.7ºF|Hot water temperature at the hand wash sink: 103.3ºF|May 2025 Menu Attached Hot",NY,"(40.78362, -73.634268)"
BURGER KING,"181 WEST MERRICK  ROAD,  VALLEY STREAM",2025-06-17,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;,0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,181 WEST MERRICK  ROAD,VALLEY STREAM,11580,291000,HEMPSTEAD,BURGER KING,2026-10-31T00:00:00.000,,"LI RESTAURANT ASSOCIATES, LP",,,568756,Inspection,Seatings: 76: Food Permit# F0118711-Expires October 2025|Inspection ratings: 0/1”A”,NY,"(40.666756, -73.704525)"
"LUNCHBOX @ 1400, THE","1400 OLD COUNTRY  ROAD,  WESTBURY",2025-10-27,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;,0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1400 OLD COUNTRY  ROAD,WESTBURY,11590,291400,N. HEMPSTEAD,THE LUNCHBOX @ 1400,2026-12-31T00:00:00.000,,LB EATERY LLC,,,754836,Inspection,0/1 “A”|Seats: 32|Permit: exp 12/31/2025|FMTC: J.C. #47030 exp 01/31/2026,NY,"(40.746469, -73.596085)"
UMBERTO'S OF WANTAGH,"1180 WANTAGH AVENUE,  WANTAGH",2025-10-09,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1180 WANTAGH AVENUE,WANTAGH,11793,295050,HEMPSTEAD,UMBERTO'S OF WANTAGH,2027-02-28T00:00:00.000,UMBERTO'S OF WANTAGH,MAMA IDA LLC,,,576439,Inspection,Food Managers MH expires March 2026 Certificate# 46888,NY,"(40.693981, -73.507669)"
"HOMESTEAD, THE","107 SOUTH  STREET,  OYSTER BAY",2025-08-12,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,107 SOUTH  STREET,OYSTER BAY,11771,295212,OYSTER BAY,THE HOMESTEAD,2026-05-31T00:00:00.000,,107 SOUTH STREET CORP,,,753127,Re-Inspection,,NY,"(40.871786, -73.530783)"
JACK FALLON'S TAP ROOM,"136 TULIP  AVENUE,  FLORAL PARK",2024-12-03,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,136 TULIP  AVENUE,FLORAL PARK,110012704,290301,N. HEMPSTEAD,JACK FALLON'S TAP ROOM,2026-11-30T00:00:00.000,JACK FALLON'S TAP ROOM,JASON DENNIS FRANCIS INC,,,574499,Re-Inspection,"Seatings: 48: Employee’s hand-wash sink with hot and cold running water  noted installed at the bar. : Food Manager’ Certificate: J. D # 41259-October 31, 2027",NY,"(40.724648, -73.704368)"
"LADYBUG PLAYHOUSE, THE","244 G GLEN COVE  AVENUE,  GLEN COVE",2026-03-27,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,244 G GLEN COVE  AVENUE,GLEN COVE,11542,290100,GLEN COVE,THE LADYBUG PLAYHOUSE,2040-12-31T00:00:00.000,,THE LADYBUG PLAYHOUSE INC.,,,817281,Inspection,"Total enrollment: 53|Daily attendance : 38-43|Age of Children: 6 weeks-5 years |Parents provide lunch with ice packs|Facility provides goldfish, animal crackers or pretzels for snacks|Discussed proper barriers, glove usage and hand washing|Hand wash sinks provided with hot water,  soap and paper towels|Sick worker policy and allergies discussed with staff|Gloves available |Rating A",NY,"(40.846188, -73.635658)"
SPRING ROCK GOLF CENTER CAFE,"377 DENTON  AVENUE,  NEW HYDE PARK",2026-02-11,"Item 14A-   Insects, rodents present;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,377 DENTON  AVENUE,NEW HYDE PARK,11040,291201,N. HEMPSTEAD,SPRING ROCK GOLF CENTER CAFE,2026-11-30T00:00:00.000,,SPRING ROCK GOLF CENTER INC,,,676127,Inspection,"Score: 0/2 “A”|Seating county 18|Permit exp November 30, 2026|Food Managers certification: HK #7470 exp January 31, 2026 and VK #189030971 exp January 31, 2026",NY,"(40.750079, -73.673252)"
DUNKIN DONUTS,"329 MERRICK AVENUE,  EAST MEADOW",2025-11-12,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,7.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,329 MERRICK AVENUE,EAST MEADOW,11554,295012,HEMPSTEAD,DUNKIN DONUTS,2026-12-31T00:00:00.000,,329 MERRICK AVENUE CORP,,,726657,Inspection,"Seatings: 12 : Food Permit# F0114705-Expires December 31, 2025|Inspection ratings: 0/7”B”",NY,"(40.714072, -73.573119)"
NC DEPT OF SOCIAL SERVICES CAFETERIA,"60 CHARLES LINDBERGH  BOULEVARD,  UNIONDALE",2026-02-10,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",1.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,60 CHARLES LINDBERGH  BOULEVARD,UNIONDALE,11553,295048,HEMPSTEAD,NASSAU COUNTY DEPT OF SOCIAL SERVICES CAFETERIA,2026-07-31T00:00:00.000,,FLORIAN FOOD SERVICE INC,,,573395,Inspection,"Seatings: 109: Food Permit# Fo117363-Expires July 31, 2026, Food Manager’s Certificate: J.R # 1224763056-Expires June 30, 2028|Inspection ratings: 1/5”A”",NY,"(40.723795, -73.603687)"
DUNKIN DONUTS,"1399 HICKSVILLE  ROAD,  MASSAPEQUA",2025-06-24,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1399 HICKSVILLE  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,DUNKIN DONUTS,2026-05-31T00:00:00.000,DUNKIN DONUTS,LONG ISLAND COMBO SHOPS INC,,,575564,Re-Inspection,,NY,"(40.6885, -73.47699)"
EASTERN NASSAU HEAD START,"1309 WANTAGH AVENUE,  WANTAGH",2025-10-14,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,1309 WANTAGH AVENUE,WANTAGH,11793,295050,HEMPSTEAD,EASTERN NASSAU HEAD START,2040-12-31T00:00:00.000,,"EOC OF NASSAU COUNTY, INC.",,,674277,Inspection,"FS - fmtc exp.  Jan 2026 no.  43490|IW - fmtc exp.  may 2028 no.  1754833200|DGG - fmtc exp.  March 2028 no.  29416936|licensed for 135 children - 3 to 5 years of age|breakfast, lunch and snacks served |thermometer available, gloves noted|Grade A",NY,"(40.690664, -73.508244)"
YESTERDAY'S,"443 JERICHO  TURNPIKE,  NEW HYDE PARK",2025-03-24,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,443 JERICHO  TURNPIKE,NEW HYDE PARK,11040,291200,HEMPSTEAD,YESTERDAY'S,2026-10-31T00:00:00.000,YESTERDAY'S,CHALMA REST CORP,,,572155,Re-Inspection,"Seatings: 62: Food Manager’s Certificate: G.G # 38803399-Expires June 30, 2026, Food Permit# F0118782-Expires October 31, 2025, As per interview  Establishment has not bought clams since the last inspection of 2/21/ 2025.  A large container of clam shells were  still noted inside the basement walk-in Freezer . Mop sink with hot and cold running water  noted installed in the basement. Issued Appearance order for 03/ 28/2025@ 10:00am",NY,"(40.731905, -73.688752)"
PEARL EAST,"1191 NORTHERN  BOULEVARD,  MANHASSET",2025-04-28,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1191 NORTHERN  BOULEVARD,MANHASSET,11030,295109,N. HEMPSTEAD,PEARL EAST,2026-12-31T00:00:00.000,PEARL'S EAST,9898 REST CORP,,,570275,Re-Inspection,No repeat violations noted at time of visit.,NY,"(40.79111, -73.702007)"
PIETRO'S,"476 EAST MEADOW  AVENUE,  EAST MEADOW",2025-12-31,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",1.0,0.0,9.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,476 EAST MEADOW  AVENUE,EAST MEADOW,115543957,295012,HEMPSTEAD,PIETRO'S PIZZERIA,2026-09-30T00:00:00.000,PIETRO'S,PIETRO'S PIE-SANO INC,,,577392,Inspection,"Seatings: 97: A food  Manager’s must take letter was hand-delivered. Food Permit# F0118554-Expires September 30, 2026:Weekly extermination report  last dated 12/29/25 was reviewed.|Inspection ratings: 1/9”B”",NY,"(40.712481, -73.557628)"
DUNKIN DONUTS,"4886 SUNRISE HIGHWAY,  MASSAPEQUA PARK",2026-02-11,"Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,4886 SUNRISE HIGHWAY,MASSAPEQUA PARK,11762,291500,OYSTER BAY,DUNKIN DONUTS,2027-02-28T00:00:00.000,DUNKIN DONUTS,FKB DONUTS OF MASSAPEQUA INC,,,573294,Inspection,Rating: A |Seats: 6|Food permit expires 2/28/22,NY,"(40.677358, -73.453684)"
BALDWIN SD-SR HIGH SCHOOL,"841 ETHEL T KLOBERG  DRIVE,  BALDWIN",2025-12-09,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,841 ETHEL T KLOBERG  DRIVE,BALDWIN,11510,299900,NASSAU SCHOOLS,BALDWIN SD-SR HIGH SCHOOL,2026-08-31T00:00:00.000,BALDWIN SENIOR H S (BALDWIN UFSD),BALDWIN UFSD,,,570603,Inspection,"Score: 0/0 “A”|Permit Expires: August 31, 2026|FMTC: L.B.;  Cert #: 570071868; Cert Exp: April 30, 2026|      	     M.O.; Cert #: 43166; Cert Exp: May 31, 2026 |Complaint addressed during inspection - no violations were noted regarding the complaint.",NY,"(40.66941, -73.6074)"
STARBUCKS COFFEE #7307,"4301 MERRICK  ROAD,  MASSAPEQUA",2025-04-22,"Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,4301 MERRICK  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,STARBUCKS COFFEE #7307,2027-03-31T00:00:00.000,,STARBUCKS CORPORATION,,,578408,Inspection,Score “A”|Permit exp 3/26|48 seats,NY,"(40.666825, -73.47493)"
HEMPSTEAD HEAD START,"65 DARTMOUTH  AVENUE,  HEMPSTEAD",2025-05-16,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,65 DARTMOUTH  AVENUE,HEMPSTEAD,11550,290600,HEMPSTEAD,HEMPSTEAD HEAD START,2040-12-31T00:00:00.000,HEMPSTEAD HEAD START,EOC OF NASSAU COUNTY INC,COUNTY INC,EOC OF NASSAU,571665,Inspection,"Inspection ratings 0/0”A”|Food Served today, Water melon , Whole Wheat ,Milk, Turkey/ Veggie Sausage, Grilled Cheese, Taster Tots, Mixed Berries / Mango, smoothie  Water.|Facility cater for 93 students Ages-3-5 years . Food is prepared onsite. dishwasher noted working well.",NY,"(40.716723, -73.619452)"
PADDY'S LOFT,"1286 HICKSVILLE  ROAD,  MASSAPEQUA",2025-06-16,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1286 HICKSVILLE  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,PADDY'S LOFT,2026-07-31T00:00:00.000,PADDY'S LOFT,PADDY'S LOFT CORP,,,576635,Inspection,Food Managers JD expires April 2026. Certificate# 46765,NY,"(40.715802, -73.483133)"
HEMPSTEAD GOLF CLUB HALFWAY HOUSE,"60 FRONT  STREET,  HEMPSTEAD",2025-08-17,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,60 FRONT  STREET,HEMPSTEAD,11550,290600,HEMPSTEAD,HEMPSTEAD GOLF CLUB HALFWAY HOUSE,2026-07-31T00:00:00.000,,HEMPSTEAD GOLF CLUB INC,,,573456,Inspection,- permit exp: 7/31/26|- seat #: 8,NY,"(40.703545, -73.634719)"
CARLE PL SD - CHERRY LANE ELEM,"475 ROSLYN AVENUE,  CARLE PLACE",2025-09-29,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14A-   Insects, rodents present;",0.0,0.0,4.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,475 ROSLYN AVENUE,CARLE PLACE,11514,299900,NASSAU SCHOOLS,CARLE PL SD - CHERRY LANE ELEM SCHOOL,2026-11-30T00:00:00.000,,CARLE PLACE UFSD,,,555572,Inspection,"Score: 0/4 “A”|Permit Expires: November 30, 2025|Milk Expiration Date: October 10, 2025 to October 12, 2025.",NY,"(40.751754, -73.605693)"
